name,processor,count,duration_seconds,pts_per_sec
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,78,0.0001812817839284333,430269.3757183731
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,110,0.00023405121949806665,469982.59712510766
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,155,0.0007606461107627334,203774.13071181637
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,218,0.0007978432249381001,273236.63745708106
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,308,0.0008652122219403334,355982.02636259136
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,434,0.0009416706685701001,460882.99708752375
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,612,0.0010195827739209668,600245.5275371682
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,863,0.0018590598885073334,464213.1247815343
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1216,0.0020408176623491667,595839.6099925328
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1714,0.002997784224131867,571755.627440584
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2415,0.004052034892348766,595996.84212002
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3403,0.005946796773053267,572240.8432418645
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4795,0.0079440972174828,603592.814731359
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6757,0.0117041483317605,577316.6751197209
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9521,0.015856839449093132,600434.9120495457
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,13417,0.02291787566689547,585438.2053123998
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18905,0.0323904066684966,583660.4706290177
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,26639,0.044179587331859095,602970.7747131875
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,37537,0.06103594444216117,614998.2660720648
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52893,0.08630004333709863,612896.5636018675
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,74531,0.12394264899975517,601334.5737039009
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,105021,0.16869383622659373,622553.8665143236
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,147983,0.23836257444648065,620831.5224973647
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,208520,0.33908414611199666,614950.6026481332
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,293822,0.4795305036661836,612728.4870381026
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,414019,0.6802890162265652,608592.8041238785
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,583387,0.9324079906635712,625677.8211272281
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,822041,1.331587492553983,617339.0818077801
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1158323,1.9092114038909787,606702.3262271188
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1632172,2.6366237025573955,619038.6585756904
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2299863,3.6524417637805455,629678.2122049422
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3240696,5.141378621003436,630316.5432635493
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4566405,7.284676921111945,626850.7237110217
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6434438,10.339004574667973,622345.9863597783
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9066649,14.317513649108458,633255.8307401771
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,12775649,20.85062461067017,612722.6036893948
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,17391305,27.68190695955542,628255.3086176297
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18001933,28.716136900446532,626892.5748059124
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,25366194,40.78347288099925,621972.387540786
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,34782609,57.053048351114256,609653.8222803074
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,35743040,57.03021285166525,626738.6743403383
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,50364863,83.61575459500183,602337.0026850249
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52173913,82.649,631270.9530665828
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,69565218,109.719,634030.7330544391
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,70968206,115.691,613428.9270556915
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,86956522,144.564,601508.8265404942
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,3.15715313061244e-05,31674.105075987085
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,7.548975473683742e-05,132468.30692271687
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,14,7.292288096828593e-05,191983.63825050445
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,19,8.054355728543467e-05,235897.20444885193
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,27,7.514657530312736e-05,359297.81085947034
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,39,0.00011589766169586666,336503.76918165974
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,55,0.00014109289946233336,389814.0885160772
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,78,0.0001852266464588667,421105.71827105596
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,110,0.00023677509873066662,464575.88061287557
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,155,0.0007815668883526333,198319.55819764195
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,218,0.0008159143300727,267184.9138629244
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,308,0.0008420548861225334,365771.88147232094
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,434,0.0009302858903797,466523.25321505324
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,612,0.0010578575576655333,578527.7947539118
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,863,0.0018581090016911335,464450.68573186605
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1216,0.0020384101158835667,596543.3503909562
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1714,0.0029688422239075,577329.4337427219
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2415,0.004043936777394234,597190.3451854008
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3403,0.006092969002357367,558512.6066919725
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4795,0.007982575889728533,600683.2964995546
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6757,0.011001513883781835,614188.1991314855
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9521,0.0157920981075925,602896.457147927
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,13417,0.021988356998759336,610186.5637690454
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18905,0.0316902552170472,596555.6247660131
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,26639,0.04434088088960067,600777.4195177904
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,37537,0.06147508444357657,610605.0986306889
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52893,0.09128064510666034,579454.7128604882
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,74531,0.12383144899892311,601874.5690414085
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,105021,0.16858536500225052,622954.4302294451
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,147983,0.23903536244150658,619084.1325254223
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,208520,0.3330460252197356,626099.6505285527
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,293822,0.4707575402236543,624147.1987053183
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,414019,0.6646308854408562,622930.7260155042
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,583387,0.93759629943822,622215.5530579081
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,822041,1.32013854022381,622692.9787692095
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1158323,1.8675889692262022,620223.7318203521
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1632172,2.6608026114416616,613413.4087893373
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2299863,3.65802828266839,628716.571409978
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3240696,5.209466110221007,622078.33421581
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4566405,7.257784342443156,629173.4205018871
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6434438,10.542486560666674,610334.000709706
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9066649,14.379181994110036,630539.9711690038
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,12775649,20.78131747633198,614766.0760464439
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,17391305,27.907145296332995,623184.6652651076
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18001933,28.751655458560936,626118.1386910311
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,25366194,41.50491525322432,611161.2045281654
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,34782609,54.95046505055819,632981.1579937971
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,35743040,57.248602471999156,624347.8173547077
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,50364863,79.92732331789047,630133.2374122757
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52173913,82.552,632012.7071421649
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,69565218,110.041,632175.4436982579
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,70968206,115.586,613986.1747962557
numpy_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,86956522,138.822,626388.6271628416
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,0.0007812658900705334,1279.9739662379463
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,0.0009033387766426334,11070.043995195463
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,14,0.000956246106161,14640.582492100486
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,19,0.0009935936677373,19122.505121503535
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,27,0.0017614040032753334,15328.680955529486
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,39,0.0018590455564877,20978.506881608006
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,55,0.0027290088882048666,20153.83688844591
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,78,0.0030050954426535,25955.914375593336
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,110,0.0041071401108056,26782.626604482677
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,155,0.0059201939964356335,26181.574470924555
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,218,0.007854732554354166,27753.968514071763
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,308,0.0116280811117548,26487.60333195849
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,434,0.014923867559733002,29080.933495483565
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,612,0.02169003544121767,28215.72153068103
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,863,0.030871050893639503,27954.992623131195
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1216,0.0413911115512147,29378.288101671293
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1714,0.057899138665395804,29603.203769668427
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2415,0.07942792578201947,30404.923409780098
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3403,0.10660913044141802,31920.34290036684
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4795,0.15842833044488602,30266.051447585523
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6757,0.21382603622088192,31600.45483432163
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9521,0.3056887807826408,31146.056376762754
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,13417,0.41927886855943736,32000.181755160393
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18905,0.6079805165574262,31094.746435372563
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,26639,0.8644825943350375,30814.96397332418
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,37537,1.1710031224448854,32055.422637668264
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52893,1.7152362546678115,30837.151358046445
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,74531,2.358190344778045,31605.167142271093
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,105021,3.3343852746656375,31496.360303034027
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,147983,4.7392926701103955,31224.701722536356
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,208520,6.496047583555285,32099.518563852187
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,293822,9.230129281329818,31832.92357500631
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,414019,12.791490968224748,32366.75075864586
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,583387,18.076679367995254,32272.90743635616
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,822041,26.100478296226253,31495.246587831884
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1158323,37.47270606222356,30911.111625528207
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1632172,50.50594876055404,32316.430837445285
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2299863,74.2509002085553,30974.21032661105
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3240696,98.216,32995.60153131873
pandas,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4566405,142.236,32104.425040074246
pandas_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,0.0007799312207433666,1282.1643414234422
pandas_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,0.0008639323324896334,11574.980613565582
